playername,teamname,position,champion,result,game_length_minutes,offense_dpm_adjusted,offense_kill_participation,offense_damage_per_gold,offense_damage_share,defense_deaths_per_min_adjusted,defense_damage_taken,defense_kda,utility_ward_score_adjusted,utility_assists,utility_assist_ratio,utility_fb_assist,macro_objective_participation_adjusted,macro_turret_plates,macro_vision_score_adjusted,multikill_score
Lwx,FunPlus Phoenix,bot,Xayah,0,32.81666666666667,466.41484131982645,1.0,1.5080011927243813,0.269726,0.030199836307164586,382.9152,8.0,1.0379657891340353,3,0.6,,,,1.4681310268166583,
Lwx,FunPlus Phoenix,bot,Xayah,0,26.0,357.67398427055986,0.6666666666666666,1.6303501945525292,0.241553,0.11435284170924438,435.7308,0.6666666666666666,0.42376173033847786,1,1.0,,,,0.7335134712501634,
Lwx,FunPlus Phoenix,bot,Jinx,0,27.683333333333334,513.4353379967107,0.8571428571428571,1.6432236995567997,0.319429,0.14319922381410494,662.2757,1.5,0.4342806385383692,2,0.5,,,,0.6888482420894734,
Lwx,FunPlus Phoenix,bot,Xayah,0,31.1,906.1429381221681,0.7142857142857143,3.141122230968177,0.473683,0.12746726192670327,443.4405,1.25,0.6765160673701516,4,4.0,,,,0.9359623863447967,
Lwx,FunPlus Phoenix,bot,Jinx,0,34.1,429.98639796198495,1.0,1.293405713268666,0.32512,0.05812656665572539,412.6686,2.0,0.7344201525086008,1,0.3333333333333333,,,,0.8241487564908446,
Lwx,FunPlus Phoenix,bot,Varus,1,28.05,710.5425426444232,0.3333333333333333,2.37280807110257,0.353887,0.0,143.4938,3.0,0.7858125325709268,2,2.0,,,,1.1093036240088678,
Lwx,FunPlus Phoenix,bot,Aphelios,1,42.63333333333333,811.2003410222829,0.75,2.2241614221760853,0.311003,0.09298432789492897,516.5207,3.0,0.822478441153405,6,1.0,,,,1.2006415083599418,
Lwx,FunPlus Phoenix,bot,Aphelios,1,32.03333333333333,592.8348797137259,0.5714285714285714,1.6520975952255572,0.251515,0.061876667730288326,245.0572,4.0,0.81306151381255,5,1.6666666666666667,,,,1.4413318893202445,
Lwx,FunPlus Phoenix,bot,Aphelios,1,27.316666666666666,558.2187234427414,0.6,1.6310564368188194,0.2343,0.036280340261627256,223.6364,9.0,0.7335185318057529,3,0.5,,,,1.2493215895800196,
Lwx,FunPlus Phoenix,bot,Jinx,0,38.3,730.6874392356533,0.7,2.1455642354397093,0.363404,0.05175237396763018,596.9974,3.5,0.4969933674253401,3,0.75,,,,0.8647991335921468,
Lwx,FunPlus Phoenix,bot,Jinx,1,24.633333333333333,883.2639738210232,0.9230769230769231,2.0197602547293503,0.440255,0.0,220.23,12.0,0.7726889423405863,4,0.5,,,,1.0594190871709737,
Lwx,FunPlus Phoenix,bot,Jinx,0,34.53333333333333,667.9402775957341,1.0,2.08822723536396,0.385907,0.0860957688544504,405.4923,1.6666666666666667,0.7833080306185718,3,1.5,,,,1.1917084625278038,
Lwx,FunPlus Phoenix,bot,Aphelios,1,30.066666666666666,776.4630226052666,0.9166666666666666,2.1504507016076575,0.292069,0.06592403291442026,518.4479,5.5,0.733017631415282,5,0.8333333333333334,,,,0.9347579307269803,
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,27.683333333333334,451.88426162186494,0.5555555555555556,2.0506036050934346,0.263371,0.17899902976763116,559.0367,1.0,0.7237008841525211,5,5.0,,,,0.6163801624175224,
Lwx,FunPlus Phoenix,bot,Jinx,1,35.05,758.2878936254193,0.9375,2.161907106515674,0.355478,0.056551096232817004,344.622,7.5,0.7717873216377384,11,2.75,,,,1.174143484767982,
Lwx,FunPlus Phoenix,bot,Aphelios,1,32.016666666666666,530.0604792899363,0.7857142857142857,1.3421094622626457,0.260485,0.030954439192507587,233.847,11.0,0.7195935009506588,5,0.8333333333333334,,,,1.0032111583395436,
