id,playername,teamname,year,split,final_offense,final_defense,final_utility,final_macro,final_clutch,final_consistency
17950,725,Unlimited Potential,2019,Spring,50.77989288747672,69.41601083681518,,,50.0,51.06127774875857
17951,925,Victorious Gaming,2019,Spring,68.79277760326987,70.72790754902923,,,50.0,77.18902985810834
17958,Alielie,Bilibili Gaming Junior,2019,Spring,,,,,,
17963,Apii,Vici Gaming Potential,2019,Spring,,63.009210815465046,59.32471916473246,73.12980315596575,50.0,63.05505480593325
17965,As6,SinoDragon Prince,2019,Spring,56.68621193872141,67.3112162977001,,,50.0,55.44360388822358
17966,As6,SinoDragon Prince,2019,Spring,53.26492643483534,64.48606493512904,,,50.0,58.937868125343556
17968,Babi9,Suning-S,2019,Spring,,,,,,
17970,Bbay,Suning-S,2019,Spring,59.29591369508725,72.07161612502448,,,55.846359168260705,62.862699110478815
17971,Beichen,Oh My God Academy,2019,Spring,71.46998995035187,77.53117927998669,73.22985661524137,,50.0,72.37194853982757
17973,Bin,Suning-S,2019,Spring,,,,,,
17980,Chelizi,Vici Gaming Potential,2019,Spring,57.645956870957676,69.6867259466562,,71.11915658347175,50.0,56.76339818808433
17981,Cherub,Triumphant Song Gaming,2019,Spring,50.23274235307984,69.8314255683351,50.80859569012059,,55.380143353715695,50.0
17983,Clap,Victorious Gaming,2019,Spring,58.14518666755417,69.94902141739169,,,53.482368957780196,57.661633985604794
17984,Clever9,Team WE Academy,2019,Spring,58.11729854798497,70.59359427319531,57.88532524301012,,53.96913295899962,53.55965271963266
17985,Cruel,Suning-S,2019,Spring,,,,,,
17987,Dustwind,Vici Gaming Potential,2019,Spring,,77.86640139521784,84.56386256037808,79.60372188560356,89.74250319441975,94.18232378958142
17988,Dustwind,Vici Gaming Potential,2019,Spring,87.4669787325851,64.58429994593672,,77.14329234561335,63.834730057890326,90.58411166968637
17989,Dustwind,Vici Gaming Potential,2019,Spring,89.97370162894072,71.32176356392976,78.76423116694211,,93.48152000287686,89.64821313120879
17991,Eisley,SinoDragon Prince,2019,Spring,100.0,66.990476006405,,,50.0,100.0
17992,Eisley,SinoDragon Prince,2019,Spring,80.43805582723326,58.065720148523035,,,50.0,90.21109977810391
17997,Fan,Oh My God Academy,2019,Spring,66.81774470235764,79.11327636350931,66.74782012670596,,68.01612118242883,72.01660910333288
18001,FengXian,Rogue Warriors Shark,2019,Spring,53.16289645480139,69.81042431792628,54.1507836303144,,50.0,55.72448335045951
18004,GDKirito,Gama Dream,2019,Spring,51.74507571356831,70.9428028837318,,,52.86822263345771,53.075981122258675
18005,GDPYB,Gama Dream,2019,Spring,57.316446567340854,70.8563473877001,,,,56.99379404178159
18006,GDreal,Gama Dream,2019,Spring,73.80272740436047,70.22949508570584,62.51852648350335,,63.02427592981496,70.24663204741351
18007,GYX,Snake WuDu,2019,Spring,59.73642689807145,73.46537061884592,56.736675927974936,,62.87048425511615,61.79859419163981
18008,Godlou,Shu Dai Xiong Gaming,2019,Spring,54.2182166221965,70.4830231196999,51.9688733633434,,51.46671795036277,54.3026097969658
18010,HanXuan,Bilibili Gaming Junior,2019,Spring,,,,,,
18012,Helper,Legend Esport Gaming,2019,Spring,58.9424355157381,76.79998130089656,62.4510074967193,,63.8759567700013,59.45396982396039
18013,Hepcat,Snake WuDu,2019,Spring,,69.84008889988411,50.431827573413926,70.0,50.0,50.0
18016,Huanggai,Rogue Warriors Shark,2019,Spring,75.3860972037687,79.44656016411001,,,75.12606183163128,81.2891277863539
18018,HwQ,Scorpio Game,2019,Spring,78.95168168323359,72.5532253464136,71.73309252952745,,100.0,72.5712331979425
18028,Kiy1n9,Shu Dai Xiong Gaming,2019,Spring,73.2097617990766,80.66401655367198,71.24067822036858,,60.16483924423203,75.64804800837598
18030,Kore,V5 87,2019,Spring,79.5512194118637,83.86561477255438,,,90.55896636924687,83.14512585903796
18035,LiLian,SinoDragon Prince,2019,Spring,53.333726320053046,62.51854566523582,,,50.0,54.72463675210356
18037,M03,Bilibili Gaming Junior,2019,Spring,,71.77626094030524,53.9184092805526,71.27700817619056,50.0,53.51088220240821
18038,M1anhua,Bilibili Gaming Junior,2019,Spring,,,,,,
18039,MaRco,Young Miracles,2019,Spring,62.43226414620409,75.27272952310184,,,50.0,68.59966007191579
18041,Martin,LinGan e-Sports,2019,Spring,80.20843146144082,87.7237731559941,,,89.73714247961288,82.4154496232949
18042,Martin,LinGan e-Sports,2019,Spring,64.83599618342481,77.99718333218132,64.74502757526241,,50.0,71.34393517128987
18043,Medusa,Oh My God Academy,2019,Spring,54.421067692959845,71.61766510452328,,,50.0,59.02183705508078
18044,Michi,Unlimited Potential,2019,Spring,64.46578793076323,78.26636389850293,,,72.33157253687084,68.48669508221046
18045,Mine,Joy Dream,2019,Spring,65.49141799742405,81.32786083168007,68.076843537586,,66.80178272027868,71.37540368601579
18047,Mint,Victorious Gaming,2019,Spring,77.24211521789195,78.53855879928918,79.82264465339118,,73.36463242547575,78.25114747746457
18049,Mius,Shu Dai Xiong Gaming,2019,Spring,60.06700025919603,76.38145659179425,66.32301542761643,,53.297945756184845,64.70283155880196
18051,Nailao,Royal Club,2019,Spring,63.18617687265759,73.52288684641124,61.43366715171503,,60.58047475911547,61.739949201366066
18056,Puzzle,Young Miracles,2019,Spring,55.335129071141644,72.17081299709486,,,57.48882876413565,55.49211046343297
18057,Puzzle,Young Miracles,2019,Spring,,71.81512487399186,53.71498653111205,70.0,50.0,52.11883781055589
18062,S1aytrue,Royal Club,2019,Spring,65.89414456416475,72.7177511111246,,,50.0,73.09470694415498
18063,SWDlxlyc,Snake WuDu,2019,Spring,73.67552676849682,78.0010949672942,73.4678971636876,,50.0,76.74617422185779
18065,Savoki,Victorious Gaming,2019,Spring,54.650934234229986,69.11821791996951,,,50.0,53.320635299823365
18069,Smiths,Royal Club,2019,Spring,50.006700759476146,70.0,50.0,,50.0,50.0
18072,Strive,Vici Gaming Potential,2019,Spring,61.89630395796568,69.55326456271682,57.63297240739033,,69.88699472051205,61.152929391071304
18073,TS,Royal Club,2019,Spring,50.002436242211274,70.08821307003073,,,53.175087545172985,50.14600227639439
18074,TT.YS02,SinoDragon Prince,2019,Spring,,69.03818903801364,51.31282140621602,70.0,50.0,50.83769387309646
18075,TTS,VP Game,2019,Spring,80.8851679707354,80.00318656682923,75.01185037547785,,67.3979999097046,91.66550262134362
18080,Try9,Scorpio Game,2019,Spring,88.09404778058854,78.286154436806,59.691226776370804,,50.0,86.82038077819197
18082,View,Suning-S,2019,Spring,,,,,,
18084,Vortex,Bilibili Gaming Junior,2019,Spring,50.96808420361924,72.65156903556512,,,68.33640360281325,51.20397064616098
18085,Wei,Young Miracles,2019,Spring,,71.49671060659637,55.57707117901162,70.64059552609177,50.0,55.40845347907063
18087,Weidi,Gama Dream,2019,Spring,50.05262287545219,69.26416446806971,,,50.0,50.0
18089,Wings,Bilibili Gaming Junior,2019,Spring,,,,,,
18097,XLong,V5 87,2019,Spring,75.0048947492024,73.11315454789558,,,53.29746525708326,74.60286050555169
18101,Xiaoali,Joy Dream,2019,Spring,,71.30072372621557,52.77051907018316,70.0,55.20028726613657,51.751066627814396
18103,Xiaochao,Vici Gaming Potential,2019,Spring,,68.31511814825772,53.445189576298894,71.22581698818452,50.0,58.44638601711178
18107,Xsq,VP Game,2019,Spring,92.43015595496955,77.85639275460544,88.89268237580825,,50.0,98.70533528149693
18109,Xzz,VP Game,2019,Spring,53.86982632733482,70.2209511694258,,,50.0,53.12785127042497
18114,Yui,Bilibili Gaming Junior,2019,Spring,,,,,,
18115,Zdz,Vici Gaming Potential,2019,Spring,56.834498844831934,69.39518684214752,,,53.77030639808878,54.35124958328838
18129,fearness,EDG Youth Team,2019,Spring,77.37076310200985,76.34391207103397,62.6940497640102,,69.61081667636725,72.05895177975464
18131,guxi,Triumphant Song Gaming,2019,Spring,,69.36628123147466,50.03881718531357,70.26632418722556,68.33747570420992,50.0
18137,justsoso,Team WE Academy,2019,Spring,58.44547028666527,70.9135593303691,,,54.682258718844,62.23183050731643
18138,lffzzz,V5 87,2019,Spring,50.58753741989102,70.15630682747697,,,50.0,50.0
18139,lilac,Suning-S,2019,Spring,,,,,,
18141,melody,SinoDragon Prince,2019,Spring,84.55252529534009,67.11263549669945,,,50.0,71.17788593102158
18143,nanzhu,Gama Dream,2019,Spring,,71.31778610062437,55.40993691323906,71.04786907489411,61.78997486240989,55.7643054158707
18149,sqb,Gama Dream,2019,Spring,,71.88389578863416,52.39073167460111,70.80918101172153,55.051382100795564,52.451115040371924
18155,yaoyao,Triumphant Song Gaming,2019,Spring,,70.39521655018603,54.49453635770702,70.35109222470874,50.0,53.59640476819099
18158,zs,Invictus Gaming Young,2019,Spring,53.871716983380736,70.0628807965769,52.74163482716154,,63.47847331666993,54.52472073978767
18159,1024,Top Esports Challenger,2019,Summer,59.05625011320383,67.51546668015604,51.665489626775084,,50.0,59.562447364653906
18160,1024,Top Esports Challenger,2019,Summer,56.81862209323,70.11329536997106,52.00808781392157,,53.05021559063457,58.79037873658932
18161,1220,LinGan e-Sports,2019,Summer,87.95220864279908,86.17667112063023,74.60804387802352,,79.46886628624308,76.58820982959462
18162,1874,Triumphant Song Gaming,2019,Summer,89.65420194305685,81.15551105107934,78.92988036535941,,50.0,88.44253291168783
18163,1874,Triumphant Song Gaming,2019,Summer,76.4086286027505,79.58319026273873,80.2904781927583,,50.0,85.50770736094856
18164,705,Invictus Gaming Young,2019,Summer,83.72227493794689,83.96663306530289,65.26005042303817,,73.99907138180978,88.90714746635419
18165,985,Vici Gaming Potential,2019,Summer,52.15780425541676,70.3535395725554,50.65911767352212,,50.0,51.913425151231884
18166,997,Victorious Gaming,2019,Summer,72.59273791154288,76.71767961005702,57.42904762066645,,65.81170349768249,70.18736210397009
18167,A02,Joy Dream,2019,Summer,88.97499716796852,76.8582391219733,58.90664734680423,,88.56203048895964,77.82563479305423
18168,AK,Top Esports Challenger,2019,Summer,81.4909541279707,87.09480359420157,67.25283652179094,,84.62962696967008,88.1984472778794
18169,Able,Royal Club,2019,Summer,81.25058615385828,76.15549009191437,56.17102975810411,,78.48242501427757,71.24937515842853
18170,Aix,Vici Gaming Potential,2019,Summer,64.95954641150503,77.42067971864967,58.982339809633544,,88.92275209667167,63.547941234692146
18171,Akaman,EDG Youth Team,2019,Summer,59.455655984994664,73.28636522839071,57.45077158824246,,51.867893359034326,59.31987864649042
18172,Aki,Top Esports Challenger,2019,Summer,56.32901718482772,70.30565105063646,53.356331438912775,,53.926799512391725,55.23341958509477
18173,Alielie,Bilibili Gaming Junior,2019,Summer,51.41019434187662,69.91721391040122,50.89144571385397,,50.0,51.92516232151979
18174,Alu,Young Miracles,2019,Summer,79.81881790955387,89.17461442867764,94.50777866650384,,52.44736541257129,96.03009608071652
18175,Alun,LinGan e-Sports,2019,Summer,87.03363538285672,88.21147109421403,65.42984961858075,,62.49206970034092,90.849047972688
18176,Andy,LNG Academy,2019,Summer,88.1765387544114,78.99675572760977,68.89483302250464,,59.775526903620374,82.27028999373637
18177,Andy,LNG Academy,2019,Summer,84.02656473847637,89.47782894467281,56.603218753211635,,100.0,82.27028999373637
18178,Avenger0,Shu Dai Xiong Gaming,2019,Summer,88.83725357484164,79.79573003391518,58.98125264454807,,90.30476875185028,79.41144173236884
18179,Bafang,Oh My God Academy,2019,Summer,84.60429625966252,83.3896446175199,84.19118867438388,,54.36176074128798,85.19162411920797
18180,Beichen,Oh My God Academy,2019,Summer,63.643416132820334,74.67352231403316,62.868453760440346,,65.87436469542837,65.24259149021826
18181,Bin,Suning-S,2019,Summer,84.69060909217063,82.64060835014797,60.77368431351952,,82.08081544950454,85.93992244046535
18182,BlueWhale,LNG Academy,2019,Summer,74.05722238216246,77.69317933193751,78.276643095002,,50.0,90.72613859425803
18183,BoWen,Rogue Warriors Shark,2019,Summer,60.43501253999378,70.12286411385531,54.31425781573047,,57.191553098704,62.14737210268453
18184,Brave,Gama Dream,2019,Summer,63.41652652032914,72.57338396200285,58.75029579173704,,67.87878198054919,70.41832969086397
18185,Bright,Oh My God Academy,2019,Summer,82.23465644164071,87.27342586941528,66.03063225663773,,75.45039365718925,77.75919160179197
18186,CJJ,Young Miracles,2019,Summer,84.34466901852592,83.66077486521287,60.6488610008106,,79.93100496772658,84.61654659748274
18187,Cake,Dominus Esports Young,2019,Summer,52.145788741352476,69.96337793860984,50.37721001614375,,55.38449624503619,51.53640130752271
18188,Cepted,FunPlus Phoenix Blaze,2019,Summer,84.11654306856538,81.17736781468595,64.10482716792764,,75.80532660356407,76.45613695619247
18189,Chance,Scorpio Game,2019,Summer,58.07135436670032,72.19417493188335,62.09282531086269,,50.0,64.95920622932505
18190,Chase,Rogue Warriors Shark,2019,Summer,84.07056634704651,75.12886824386302,57.177200638269554,,83.60758929474467,73.13148703028487
18191,Cheats,Triumphant Song Gaming,2019,Summer,62.14418596622501,69.97839898185902,56.38695749157547,,54.08894311923145,62.78786417021693
18192,Cherub,Triumphant Song Gaming,2019,Summer,71.56044583692967,72.57230060300576,55.0314938620779,,68.94555656193087,66.84370090755186
18193,Chieftain,Bilibili Gaming Junior,2019,Summer,87.06430889029485,84.90852661028813,74.9205492923739,,83.23809773681086,89.04010629392343
18194,Cixue,Top Esports Challenger,2019,Summer,80.84076256854985,83.38225401077017,67.63167246390583,,73.95736448754798,78.67699125268544
18195,Clap,Gama Dream,2019,Summer,62.53675973049552,75.27492692120113,53.98159852861015,,59.52048128098153,59.536561906197235
18196,Clay,EDG Youth Team,2019,Summer,50.0,70.02431281830985,50.00946143942914,,50.0,50.86414045947154
18197,Conquer,D7G Esports Club,2019,Summer,51.77726694064869,68.56462599659362,51.421422277530354,,50.0,53.02717906383288
18198,Coten,Team WE Academy,2019,Summer,78.26627759080876,81.43667067329395,59.66356685281665,,74.41699930050453,82.06968308066263
18199,Cruel,Suning-S,2019,Summer,51.233478424835596,70.08633518763973,51.48704888816145,,50.0,50.0
18200,Crush3,Victorious Gaming,2019,Summer,70.09384333373441,69.1008590236657,59.69752924514543,,53.48922515648831,68.35267285398125
18201,Cryin,Royal Club,2019,Summer,87.20043694390925,85.63461690757046,68.89513570195338,,86.27020781869808,76.0511505848598
18202,Cube,Vici Gaming Potential,2019,Summer,50.0,70.66414612332298,50.0,,50.0,50.0
18203,DT99,LinGan e-Sports,2019,Summer,52.236817534873666,69.18517082950872,51.76953186012502,,53.85779416683833,52.371268982826955
18204,DaiDai,V5 87,2019,Summer,82.99320303768579,77.36606330522723,69.37234304854591,,78.2990271165728,80.54682011362408
18205,Daylight,Rogue Warriors Shark,2019,Summer,84.94404118936956,78.22222706528004,71.22906905532159,,71.68837772708687,83.66578932778089
18206,Decade,LNG Academy,2019,Summer,74.93878881515575,74.8020162054883,57.627293846795574,,52.00810482496018,77.67612017950998
18207,Deceit,VP Game,2019,Summer,71.98435174935194,75.71233190432082,77.25704800386663,,53.32551811214845,82.94694039471761
18208,Deceit,VP Game,2019,Summer,69.29549674879573,78.15394636019309,77.7644970234103,,50.0,87.23505947400972
18209,Demon,Bilibili Gaming Junior,2019,Summer,71.70512435814928,76.42796196683011,58.476068623731074,,70.40487539286335,72.11549535889431
18210,DoRun,VP Game,2019,Summer,75.78012861513324,75.0620844501265,58.794849156947464,,67.60989809943482,80.17910114254387
18211,Dou,Joy Dream,2019,Summer,82.5725595244381,77.02336128330778,70.08134079709086,,57.604624193745344,87.73772834182404
18212,Dusk,Victorious Gaming,2019,Summer,52.28427958803026,68.69221178593794,51.07445723278058,,50.0,51.796714129264465
18213,Dustwind,VP Game,2019,Summer,87.2046934190552,71.37285105139358,67.70546532790478,,61.53445067915914,85.7542186728703
18214,Dustwind,VP Game,2019,Summer,83.53998925776014,63.320752251909866,63.67716599783211,,50.0,87.29751907439177
18215,Duye,Shu Dai Xiong Gaming,2019,Summer,77.18690508193396,84.7733126090193,67.11852224093111,,67.80287481976822,73.08738200021153
18216,Echo,Gama Dream,2019,Summer,97.54364802171973,82.91365846101067,78.96871675946318,,59.72227624575929,90.52122951471083
18217,Eisley,Dominus Esports Young,2019,Summer,75.8691245238389,69.85669335892993,57.699956121104584,,65.3239541216055,69.71115399428646
18218,Eisley,Dominus Esports Young,2019,Summer,67.25795547457402,70.86423390865258,60.59577265124646,,53.96202868375425,69.4736736335308
18219,Epic,LNG Academy,2019,Summer,79.5179722484334,72.88855810243265,64.84167112582993,,56.76328764944646,79.88589741949524
18220,Eric,Oh My God Academy,2019,Summer,80.12860648010813,75.60249141596945,57.65890885288666,,73.54894636540186,70.19395710045785
18221,Exboy,Shu Dai Xiong Gaming,2019,Summer,50.0,69.94492092452421,50.0,,50.0,50.0
18222,Fan,Team WE Academy,2019,Summer,55.906515468117334,71.06514255084323,51.93504454971306,,55.374802103166445,54.8395137294538
18223,Fartte,D7G Esports Club,2019,Summer,56.755773553775086,69.71136913410785,52.61091019244061,,54.43439969990231,58.456668694844105
