playername,teamname,position,champion,result,game_length_minutes,dpm,damageshare,vspm,turretplates,assists,firstbloodassist,kill_participation,damage_per_gold,deaths_per_minute,kda_ratio,damagetakenperminute,ward_score,assist_to_kill_ratio,objective_participation,multikill_score
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,23.55,592.4841,0.268803,0.6794,,3,,0.5555555555555556,2.2595951417004048,0.21231422505307854,1.0,541.0616,0.552,1.5,,
Lwx,FunPlus Phoenix,bot,Kai'Sa,1,25.266666666666666,795.752,0.320888,1.5435,,8,,0.7368421052631579,2.007789095266627,0.0,14.0,334.7889,1.0686,1.3333333333333333,,
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,32.86666666666667,885.5172,0.369415,1.3996,,7,,0.9230769230769231,2.7557996401855887,0.15212981744421905,2.4,525.2738,1.1561000000000001,1.4,,
Lwx,FunPlus Phoenix,bot,Xayah,0,27.533333333333335,356.1138,0.220627,0.9443,,4,,0.5,1.721988057604496,0.18159806295399514,0.8,551.6949,0.6901,4.0,,
Lwx,FunPlus Phoenix,bot,Varus,1,31.583333333333332,839.5884,0.331276,1.6781,,8,,0.7777777777777778,2.334037496699234,0.0316622691292876,14.0,397.4565,1.1082,1.3333333333333333,,
Lwx,FunPlus Phoenix,bot,Xayah,1,32.266666666666666,701.8079,0.262649,0.8058,,8,,0.6086956521739131,2.0532233203372927,0.09297520661157026,4.666666666666667,415.1963,0.6508,1.3333333333333333,,
Lwx,FunPlus Phoenix,bot,Jinx,1,25.516666666666666,742.4951,0.342639,1.0189,,9,,0.8125,2.071733187534172,0.039190071848465055,13.0,404.4807,0.7838,2.25,,
Lwx,FunPlus Phoenix,bot,Kai'Sa,1,24.5,555.551,0.237426,1.2245,,10,,0.8,1.279109106287003,0.08163265306122448,8.0,436.0,0.9388,1.6666666666666667,,
Lwx,Royal Never Give Up,bot,Varus,1,32.083333333333336,664.6442,0.323578,1.6519,,4,,0.5789473684210527,1.7359166395310974,0.0,11.0,338.8987,0.9039,0.5714285714285714,,
Lwx,Royal Never Give Up,bot,Lucian,1,25.383333333333333,474.7209,0.263183,0.9061,,1,,0.2,1.7373125720876585,0.07879185817465528,0.5,434.9311,0.591,1.0,,
Lwx,Royal Never Give Up,bot,Ezreal,1,35.96666666666667,1415.7831,0.448449,1.0287,,8,,0.7727272727272727,3.4140797854508884,0.08341056533827618,5.666666666666667,683.633,0.6673,0.8888888888888888,,
Lwx,Royal Never Give Up,bot,Kalista,1,24.65,980.9736,0.227076,0.6897,,10,,0.5142857142857142,2.6104933606822844,0.04056795131845842,18.0,695.3753,0.44620000000000004,1.25,,
Lwx,Royal Never Give Up,bot,Lucian,0,21.9,597.8539,0.331831,1.1872,,1,,0.3333333333333333,3.3477371516236256,0.09132420091324202,0.5,549.863,0.7763,1.0,,
Lwx,Royal Never Give Up,bot,Xayah,1,32.916666666666664,441.1443,0.186705,0.5772,,6,,0.4375,1.5809471965160589,0.12151898734177216,1.75,617.4987,0.4557,6.0,,
Lwx,Royal Never Give Up,bot,Kai'Sa,0,18.816666666666666,243.9858,0.168688,0.6909,,1,,0.5,1.56050305914344,0.21257750221434898,0.25,517.9982,0.4783,1.0,,
Lwx,Royal Never Give Up,bot,Senna,0,27.1,322.583,0.144455,2.4723,,6,,0.5454545454545454,2.096905732789638,0.18450184501845018,1.2,411.9188,1.6604999999999999,6.0,,
